sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct
CHEETOS CRUNCHY PIMENTA MEXICANA 47G,SNACK ELMA CHIPS,5.99,1.854,50,2022-1,2026-12,2026-01-16,4.14,69.1
CHEETOS LUA PARMESAO 34G,SNACK ELMA CHIPS,5.99,3.0871,49,2022-1,2026-12,2026-05-09,2.9,48.4
CHEETOS LUA PARMESAO 95G,SNACK ELMA CHIPS,13.99,7.5958,29,2022-1,2026-12,2026-02-27,6.39,45.7
CHEETOS MIX DE QUEIJOS 34G,SNACK ELMA CHIPS,5.99,3.085,48,2022-1,2026-12,2026-05-08,2.9,48.4
CHEETOS MIX DE QUEIJOS 82G,SNACK ELMA CHIPS,13.99,6.84,35,2022-1,2026-12,2026-03-13,7.15,51.1
CHEETOS ONDA 45G,SNACK ELMA CHIPS,5.99,2.8485,40,2022-1,2026-12,2026-03-20,3.14,52.4
CHEETOS ONDA REQUEIJAO 105G,SNACK ELMA CHIPS,13.99,6.8127,27,2022-1,2026-12,2026-03-11,7.18,51.3
CHEETOS ONDA REQUEIJAO 39G,SNACK ELMA CHIPS,5.99,3.085,49,2022-1,2026-12,2026-04-27,2.9,48.4
CHEETOS ONDA REQUEIJÃO 90G,SNACK ELMA CHIPS,13.99,6.1708,49,2022-1,2026-12,2026-04-13,7.82,55.9
DORITOS DINAMITA PIMENTA MEXICANA 60G,SNACK ELMA CHIPS,6.99,3.4267,36,2022-1,2026-12,2026-03-21,3.56,50.9
DORITOS DINAMITE FLAMIN HOT 60G,SNACK ELMA CHIPS,6.99,3.4267,29,2022-1,2025-12,2026-05-01,3.56,50.9
DORITOS KETCHUP 37G,SNACK ELMA CHIPS,6.99,3.5675,40,2022-1,2026-12,2026-02-25,3.42,48.9
DORITOS PIZZA ROCK IN RIO 48G,SNACK ELMA CHIPS,6.99,3.81,27,2022-1,2026-12,2026-04-26,3.18,45.5
DORITOS QUEIJO NACHO 120G,SNACK ELMA CHIPS,19.99,8.6278,25,2022-1,2024-12,2026-05-09,11.36,56.8
DORITOS QUEIJO NACHO 37G,SNACK ELMA CHIPS,6.99,3.5702,26,2022-1,2026-12,2026-04-26,3.42,48.9
DORITOS QUEIJO NACHO 75G,SNACK ELMA CHIPS,12.99,6.8431,50,2022-1,2026-12,2026-05-10,6.15,47.3
DORITOS SWEET CHILLI 37G,SNACK ELMA CHIPS,6.99,3.7875,38,2022-1,2026-12,2026-04-16,3.2,45.8
FANDANGOS PRESUNTO 105G,SNACK ELMA CHIPS,12.99,6.9478,28,2022-1,2026-12,2026-02-23,6.04,46.5
FANDANGOS PRESUNTO 37G,SNACK ELMA CHIPS,4.74,2.5898,64,2022-1,2026-12,2026-05-08,2.15,45.4
FANDANGOS QUEIJO 105G,SNACK ELMA CHIPS,12.99,6.7977,39,2022-1,2026-12,2026-03-09,6.19,47.7
FANDANGOS QUEIJO 37G,SNACK ELMA CHIPS,4.62,2.4968,78,2022-1,2026-12,2026-05-04,2.12,45.9
